date,total,subscriber,customer
2013-08-29,62,50,12
2013-08-30,70,32,38
2013-08-31,26,15,11
2013-09-01,73,11,62
2013-09-02,49,14,35
2013-09-03,35,27,8
2013-09-04,72,52,20
2013-09-05,56,38,18
2013-09-06,61,37,24
2013-09-07,33,14,19
2013-09-08,53,26,27
2013-09-09,51,36,15
2013-09-10,68,47,21
2013-09-11,61,53,8
2013-09-12,61,50,11
2013-09-13,63,54,9
2013-09-14,60,20,40
2013-09-15,27,10,17
2013-09-16,50,46,4
2013-09-17,50,41,9
2013-09-18,70,55,15
2013-09-19,61,52,9
2013-09-20,102,74,28
2013-09-21,61,20,41
2013-09-22,28,13,15
2013-09-23,62,49,13
2013-09-24,65,54,11
2013-09-25,72,64,8
2013-09-26,74,64,10
2013-09-27,54,47,7
2013-09-28,35,25,10
2013-09-29,20,16,4
2013-09-30,56,48,8
2013-10-01,61,53,8
2013-10-02,64,56,8
2013-10-03,81,67,14
2013-10-04,76,64,12
2013-10-05,48,37,11
2013-10-06,58,35,23
2013-10-07,48,42,6
2013-10-08,79,65,14
2013-10-09,63,58,5
2013-10-10,64,61,3
2013-10-11,72,59,13
2013-10-12,46,33,13
2013-10-13,33,20,13
2013-10-14,55,46,9
2013-10-15,70,60,10
2013-10-16,65,55,10
2013-10-17,87,74,13
2013-10-18,70,51,19
2013-10-19,39,28,11
2013-10-20,40,22,18
2013-10-21,71,66,5
2013-10-22,84,68,16
2013-10-23,86,62,24
2013-10-24,106,96,10
2013-10-25,63,52,11
2013-10-26,29,13,16
2013-10-27,31,17,14
2013-10-28,72,64,8
2013-10-29,54,51,3
2013-10-30,77,69,8
2013-10-31,70,61,9
2013-11-01,52,48,4
2013-11-02,22,19,3
2013-11-03,20,11,9
2013-11-04,53,49,4
2013-11-05,70,61,9
2013-11-06,55,53,2
2013-11-07,75,69,6
2013-11-08,41,33,8
2013-11-09,34,14,20
2013-11-10,25,19,6
2013-11-11,48,33,15
2013-11-12,57,56,1
2013-11-13,53,50,3
2013-11-14,66,58,8
2013-11-15,60,46,14
2013-11-16,24,11,13
2013-11-17,16,11,5
2013-11-18,39,38,1
2013-11-19,46,44,2
2013-11-20,40,38,2
2013-11-21,67,65,2
2013-11-22,56,40,16
2013-11-23,54,24,30
2013-11-24,41,16,25
2013-11-25,58,54,4
2013-11-26,64,58,6
2013-11-27,56,50,6
2013-11-28,8,6,2
2013-11-29,24,18,6
2013-11-30,23,17,6
2013-12-01,21,13,8
2013-12-02,48,45,3
2013-12-03,51,48,3
2013-12-04,66,63,3
2013-12-05,60,50,10
2013-12-06,50,46,4
2013-12-07,12,11,1
2013-12-08,17,14,3
2013-12-09,57,57,0
2013-12-10,42,41,1
2013-12-11,61,59,2
2013-12-12,48,48,0
2013-12-13,47,38,9
2013-12-14,22,17,5
2013-12-15,21,17,4
2013-12-16,45,38,7
2013-12-17,46,45,1
2013-12-18,48,47,1
2013-12-19,39,35,4
2013-12-20,58,36,22
2013-12-21,29,15,14
2013-12-22,23,8,15
2013-12-23,54,42,12
2013-12-24,11,7,4
2013-12-25,7,1,6
2013-12-26,25,17,8
2013-12-27,14,12,2
2013-12-28,13,8,5
2013-12-29,17,14,3
2013-12-30,26,26,0
2013-12-31,12,12,0
2014-01-01,9,5,4
2014-01-02,35,34,1
2014-01-03,48,35,13
2014-01-04,14,12,2
2014-01-05,38,7,31
2014-01-06,47,41,6
2014-01-07,63,60,3
2014-01-08,51,50,1
2014-01-09,61,51,10
2014-01-10,63,56,7
2014-01-11,23,13,10
2014-01-12,37,13,24
2014-01-13,58,56,2
2014-01-14,57,51,6
2014-01-15,61,61,0
2014-01-16,68,58,10
2014-01-17,75,66,9
2014-01-18,33,17,16
2014-01-19,50,25,25
2014-01-20,51,35,16
2014-01-21,64,57,7
2014-01-22,75,69,6
2014-01-23,95,81,14
2014-01-24,61,59,2
2014-01-25,23,20,3
2014-01-26,19,15,4
2014-01-27,54,52,2
2014-01-28,52,49,3
2014-01-29,61,57,4
2014-01-30,44,39,5
2014-01-31,55,48,7
2014-02-01,44,27,17
2014-02-02,18,8,10
2014-02-03,58,57,1
2014-02-04,67,61,6
2014-02-05,49,42,7
2014-02-06,23,23,0
2014-02-07,40,36,4
2014-02-08,18,11,7
2014-02-09,11,11,0
2014-02-10,50,47,3
2014-02-11,55,53,2
2014-02-12,61,60,1
2014-02-13,53,49,4
2014-02-14,46,45,1
2014-02-15,15,11,4
2014-02-16,12,10,2
2014-02-17,23,16,7
2014-02-18,54,53,1
2014-02-19,61,55,6
2014-02-20,54,50,4
2014-02-21,53,51,2
2014-02-22,41,35,6
2014-02-23,22,13,9
2014-02-24,61,54,7
2014-02-25,50,47,3
2014-02-26,27,27,0
2014-02-27,59,54,5
2014-02-28,25,23,2
2014-03-01,29,17,12
2014-03-02,20,17,3
2014-03-03,44,42,2
2014-03-04,50,47,3
2014-03-05,71,52,19
2014-03-06,47,46,1
2014-03-07,45,43,2
2014-03-08,28,21,7
2014-03-09,32,23,9
2014-03-10,54,53,1
2014-03-11,47,44,3
2014-03-12,64,58,6
2014-03-13,67,54,13
2014-03-14,78,55,23
2014-03-15,25,15,10
2014-03-16,29,18,11
2014-03-17,42,37,5
2014-03-18,48,43,5
2014-03-19,71,60,11
2014-03-20,68,64,4
2014-03-21,66,56,10
2014-03-22,41,28,13
2014-03-23,28,15,13
2014-03-24,61,52,9
2014-03-25,64,51,13
2014-03-26,57,50,7
2014-03-27,67,53,14
2014-03-28,72,52,20
2014-03-29,8,7,1
2014-03-30,17,4,13
2014-03-31,25,22,3
2014-04-01,35,32,3
2014-04-02,56,51,5
2014-04-03,51,48,3
2014-04-04,51,37,14
2014-04-05,26,21,5
2014-04-06,30,3,27
2014-04-07,45,40,5
2014-04-08,61,59,2
2014-04-09,63,56,7
2014-04-10,64,56,8
2014-04-11,71,58,13
2014-04-12,32,26,6
2014-04-13,20,14,6
2014-04-14,58,56,2
2014-04-15,80,55,25
2014-04-16,62,54,8
2014-04-17,63,55,8
2014-04-18,74,55,19
2014-04-19,39,25,14
2014-04-20,26,19,7
2014-04-21,64,57,7
2014-04-22,50,46,4
2014-04-23,68,59,9
2014-04-24,69,64,5
2014-04-25,26,25,1
2014-04-26,26,14,12
2014-04-27,15,7,8
2014-04-28,79,68,11
2014-04-29,59,54,5
2014-04-30,67,62,5
2014-05-01,85,65,20
2014-05-02,83,70,13
2014-05-03,47,22,25
2014-05-04,46,16,30
2014-05-05,65,62,3
2014-05-06,75,71,4
2014-05-07,93,77,16
2014-05-08,101,87,14
2014-05-09,65,59,6
2014-05-10,22,13,9
2014-05-11,23,11,12
2014-05-12,68,63,5
2014-05-13,68,62,6
2014-05-14,64,52,12
2014-05-15,71,64,7
2014-05-16,65,52,13
2014-05-17,45,24,21
2014-05-18,35,16,19
2014-05-19,64,59,5
2014-05-20,67,63,4
2014-05-21,67,60,7
2014-05-22,55,50,5
2014-05-23,64,50,14
2014-05-24,59,23,36
2014-05-25,44,16,28
2014-05-26,35,26,9
2014-05-27,52,47,5
2014-05-28,73,64,9
2014-05-29,81,68,13
2014-05-30,70,68,2
2014-05-31,44,21,23
2014-06-01,57,22,35
2014-06-02,87,74,13
2014-06-03,77,71,6
2014-06-04,78,67,11
2014-06-05,74,65,9
2014-06-06,78,66,12
2014-06-07,43,26,17
2014-06-08,44,28,16
2014-06-09,76,72,4
2014-06-10,79,67,12
2014-06-11,74,67,7
2014-06-12,78,71,7
2014-06-13,64,57,7
2014-06-14,38,21,17
2014-06-15,26,16,10
2014-06-16,61,56,5
2014-06-17,70,65,5
2014-06-18,61,57,4
2014-06-19,73,62,11
2014-06-20,79,67,12
2014-06-21,26,17,9
2014-06-22,58,21,37
2014-06-23,62,61,1
2014-06-24,98,78,20
2014-06-25,81,72,9
2014-06-26,75,64,11
2014-06-27,57,53,4
2014-06-28,24,17,7
2014-06-29,41,24,17
2014-06-30,71,66,5
2014-07-01,73,65,8
2014-07-02,62,56,6
2014-07-03,60,47,13
2014-07-04,46,12,34
2014-07-05,12,6,6
2014-07-06,40,14,26
2014-07-07,67,65,2
2014-07-08,67,65,2
2014-07-09,80,69,11
2014-07-10,67,61,6
2014-07-11,46,44,2
2014-07-12,46,23,23
2014-07-13,39,25,14
2014-07-14,68,61,7
2014-07-15,67,61,6
2014-07-16,77,71,6
2014-07-17,45,43,2
2014-07-18,64,49,15
2014-07-19,12,10,2
2014-07-20,24,15,9
2014-07-21,81,69,12
2014-07-22,65,60,5
2014-07-23,82,81,1
2014-07-24,59,52,7
2014-07-25,67,60,7
2014-07-26,36,17,19
2014-07-27,22,13,9
2014-07-28,61,57,4
2014-07-29,82,70,12
2014-07-30,75,67,8
2014-07-31,65,63,2
2014-08-01,94,74,20
2014-08-02,27,21,6
2014-08-03,49,23,26
2014-08-04,58,56,2
2014-08-05,73,67,6
2014-08-06,63,49,14
2014-08-07,82,72,10
2014-08-08,70,67,3
2014-08-09,32,18,14
2014-08-10,31,17,14
2014-08-11,75,70,5
2014-08-12,76,67,9
2014-08-13,86,64,22
2014-08-14,70,66,4
2014-08-15,72,51,21
2014-08-16,23,11,12
2014-08-17,36,13,23
2014-08-18,61,57,4
2014-08-19,58,55,3
2014-08-20,65,55,10
2014-08-21,72,63,9
2014-08-22,80,66,14
2014-08-23,32,23,9
2014-08-24,15,14,1
2014-08-25,56,53,3
2014-08-26,100,89,11
2014-08-27,72,66,6
2014-08-28,66,56,10
2014-08-29,63,40,23
2014-08-30,20,8,12
2014-08-31,25,9,16
